gazetteerId_村志代码,villageInnerId_村庄内部代码,countyId_县区代码,cityId_市代码,provinceId_省代码
815,815,254.0,21,2
816,816,444.0,99,2
818,818,308.0,73,18
819,819,539.0,153,17
820,820,410.0,157,19
821,821,369.0,153,17
822,822,84.0,141,18
823,823,168.0,131,12
824,824,55.0,116,17
825,825,71.0,109,12
826,826,271.0,61,18
827,827,334.0,4,1
828,828,281.0,153,17
829,829,6.0,6,12
830,830,6.0,6,12
831,831,334.0,4,1
832,832,11.0,193,18
833,833,484.0,4,1
834,834,484.0,4,1
835,835,74.0,61,18
836,836,555.0,118,12
839,839,33.0,132,19
840,840,283.0,109,12
841,841,539.0,153,17
842,842,304.0,119,24
843,843,464.0,14,19
844,844,161.0,99,2
845,845,436.0,177,28
846,846,395.0,111,28
847,847,141.0,111,28
848,848,539.0,153,17
849,849,556.0,14,19
850,850,484.0,4,1
851,851,535.0,153,17
852,852,539.0,153,17
853,853,186.0,157,19
854,854,397.0,18,12
855,855,6.0,6,12
856,856,265.0,27,4
857,857,24.0,133,28
858,858,229.0,177,28
859,859,13.0,27,4
860,860,486.0,193,18
861,861,210.0,163,15
862,862,328.0,116,17
863,863,308.0,73,18
864,864,458.0,195,3
865,865,195.0,208,11
866,866,403.0,20,17
867,867,539.0,153,17
868,868,155.0,170,16
869,869,256.0,100,11
870,870,370.0,100,11
871,871,513.0,23,9
872,872,313.0,98,15
873,873,412.0,66,9
874,874,160.0,185,26
875,875,444.0,99,2
876,876,351.0,65,28
877,877,120.0,176,29
878,878,421.0,28,21
879,879,210.0,163,15
880,880,210.0,163,15
881,881,464.0,14,19
882,882,307.0,38,22
883,883,45.0,64,21
884,884,136.0,64,21
885,885,289.0,214,9
886,886,483.0,23,9
887,887,480.0,59,19
888,888,59.0,111,28
889,889,486.0,193,18
890,890,343.0,129,10
891,891,522.0,133,28
892,892,442.0,10,11
893,893,410.0,157,19
894,894,419.0,76,12
895,895,164.0,98,15
896,896,183.0,209,10
897,897,220.0,90,21
898,898,504.0,49,11
899,899,550.0,72,22
900,900,210.0,163,15
901,901,480.0,59,19
902,902,59.0,111,28
903,903,59.0,111,28
904,904,16.0,109,12
905,905,23.0,129,10
906,906,484.0,4,1
